"Date","wikipedians_tot","wikipedians_new","wikipedians_edits5","wikipedians_edits100","art_count_official","art_count_200ch","art_newperday","art_mean_edits","art_mean_bytes","art_size_halfkb","art_size_2kb","db_edits","db_size","db_size_words","links_int","links_interwiki","links_images","links_external","links_redirects"
"Jul 2007",111,8,24,5,"33 k","7.6 k",37,3.3,334,"9%","2%","5.1 k","29 MB","1.3 M","136 k","67 k","2.6 k","4.8 k","1.9 k"
"Jun 2007",103,13,36,7,"32 k","7.3 k",163,3.3,334,"9%","2%","34 k","28 MB","1.3 M","134 k","65 k","2.5 k","4.6 k","1.8 k"
"May 2007",90,7,26,5,"27 k","6.0 k",7,2.7,354,"10%","2%","3.3 k","25 MB","1.2 M","125 k","63 k","2.3 k","4.2 k","1.6 k"
"Apr 2007",83,3,18,5,"27 k","5.9 k",7,2.6,344,"10%","2%","2.7 k","24 MB","1.1 M","123 k","62 k","2.3 k","4.0 k","1.5 k"
"Mar 2007",80,10,19,4,"27 k","5.8 k",15,2.5,326,"10%","2%","4.1 k","23 MB","1.0 M","119 k","60 k","2.2 k","3.8 k","1.4 k"
"Feb 2007",70,7,17,4,"26 k","5.5 k",8,2.4,306,"9%","2%","2.7 k","22 MB","952 k","114 k","58 k","2.0 k","3.3 k","1.3 k"
"Jan 2007",63,6,17,2,"26 k","5.4 k",9,2.3,290,"9%","2%","3.4 k","20 MB","890 k","110 k","57 k","2.0 k","2.9 k","1.2 k"
"Dec 2006",57,6,20,4,"26 k","5.3 k",37,2.2,283,"9%","2%","4.0 k","20 MB","861 k","108 k","54 k","1.9 k","2.8 k","1.1 k"
"Nov 2006",51,7,31,3,"25 k","5.1 k",71,2.1,285,"9%","2%","5.3 k","19 MB","831 k","106 k","53 k","1.9 k","2.7 k",821
"Oct 2006",44,6,17,2,"23 k","4.8 k",226,2.1,290,"9%","2%","10 k","17 MB","771 k","98 k","51 k","1.8 k","2.4 k",737
"Sep 2006",38,2,12,5,"16 k","4.4 k",351,2.3,367,"12%","2%","18 k","14 MB","686 k","81 k","47 k","1.7 k","2.3 k",677
"Aug 2006",36,3,9,3,"5.0 k","3.4 k",68,3.7,892,"35%","7%","4.4 k","10 MB","548 k","53 k","46 k","1.7 k","2.3 k",456
"Jul 2006",33,3,9,1,"2.9 k","2.5 k",1,4.8,1339,"59%","11%","1.1 k","8.5 MB","493 k","45 k","16 k","1.6 k","2.2 k",344
"Jun 2006",30,1,7,2,"2.9 k","2.5 k",1,4.4,1345,"59%","11%",861,"8.2 MB","487 k","44 k","16 k","1.6 k","2.2 k",315
"May 2006",29,1,7,3,"2.8 k","2.4 k",2,4.2,1344,"59%","11%",921,"8.0 MB","481 k","44 k","16 k","1.6 k","2.2 k",251
"Apr 2006",28,2,12,2,"2.8 k","2.4 k",19,4,1362,"59%","11%","1.9 k","7.8 MB","476 k","44 k","16 k","1.6 k","2.2 k",229
"Mar 2006",26,2,8,"","2.2 k","1.8 k",1,4.1,1447,"44%","12%",331,"6.8 MB","408 k","36 k","16 k",899,"2.1 k",216
"Feb 2006",24,1,7,2,"2.2 k","1.7 k",10,4.1,1466,"44%","12%",733,"6.7 MB","406 k","36 k","16 k",888,"2.1 k",210
"Jan 2006",23,2,7,2,"1.9 k","1.5 k",5,4.3,1573,"42%","14%","1.2 k","6.1 MB","381 k","33 k","9.2 k",768,"2.1 k",178
"Dec 2005",21,3,12,3,"1.7 k","1.3 k",4,4,1531,"40%","13%",972,"5.3 MB","344 k","29 k","6.2 k",651,"2.0 k",144
"Nov 2005",18,3,7,3,"1.6 k","1.2 k",6,3.7,1517,"37%","13%",954,"4.7 MB","313 k","26 k","6.2 k",547,"1.8 k",120
"Oct 2005",15,3,8,2,"1.4 k","1.1 k",5,3.5,1558,"34%","13%",645,"4.3 MB","292 k","24 k","6.1 k",427,"1.8 k",84
"Sep 2005",12,2,7,3,"1.3 k",926,12,3.4,1569,"31%","12%",990,"3.7 MB","264 k","21 k","6.1 k",319,"1.7 k",73
"Aug 2005",10,3,5,2,889,551,10,3.7,1916,"27%","15%",952,"2.7 MB","228 k","16 k","1.6 k",308,"1.3 k",59
"Jul 2005",7,"",3,1,584,322,6,4,2353,"30%","18%",395,"2.0 MB","183 k","13 k","1.3 k",263,975,39
"Jun 2005",7,"",1,1,405,222,7,4.7,3373,"41%","25%",880,"1.8 MB","176 k","12 k","1.2 k",253,837,31
"May 2005",7,1,3,1,199,117,2,5.2,1864,"35%","16%",494,"716 kB","45 k","3.2 k",184,32,169,24
